CMDLINE C:\Users\alexa\Anaconda3\python.exe aoc18v4.py
MEM 0.492188 1577128874.6370
MEM 15.308594 1577128874.7504
MEM 24.371094 1577128874.8597
MEM 31.207031 1577128874.9691
MEM 37.675781 1577128875.0785
MEM 45.410156 1577128875.1878
MEM 56.457031 1577128875.2887
MEM 59.445312 1577128875.3956
MEM 67.468750 1577128875.5028
MEM 67.660156 1577128875.6122
MEM 67.722656 1577128875.7215
MEM 67.722656 1577128875.8309
MEM 67.722656 1577128875.9402
MEM 67.785156 1577128876.0496
MEM 70.558594 1577128876.1590
MEM 77.386719 1577128876.2684
MEM 71.738281 1577128876.3777
MEM 72.285156 1577128876.4836
MEM 72.371094 1577128876.5951
MEM 72.371094 1577128876.6998
MEM 72.371094 1577128876.8092
MEM 72.371094 1577128876.9186
MEM 72.371094 1577128877.0279
MEM 72.371094 1577128877.1373
MEM 72.371094 1577128877.2467
MEM 72.371094 1577128877.3560
MEM 72.371094 1577128877.4655
MEM 72.371094 1577128877.5790
MEM 74.210938 1577128877.6884
MEM 80.367188 1577128877.7888
MEM 88.589844 1577128877.9032
MEM 65.359375 1577128878.0126
